name,count
park,16.6623765271
downtown,12.8190594326
building,12.7018969671
cats,8.29046694627
dog,8.25382057446
30,7.94923944883
friend,7.77828806283
block,7.68466116278
square,7.52233673326
line,7.41411052503
express,7.39085196322
parks,6.74473000582
flat,6.73693417894
stay apartment,6.46784863592
room clean,6.23972558887
midtown,6.22430437216
times square,6.12640237001
across,5.96746061832
shops,5.93128842002
lo,5.86120943349
eat,5.84406359032
se,5.75153239343
husband,5.72465685955
sleep,5.47044435188
cute,5.35263263532
tips,5.2975620585
across street,5.27324121391
apt,5.19493248439
appartment,5.19357164983
corner,5.14137835039
gracious,5.08482533493
guest,5.07421102541
bed comfortable,4.85985982041
apartamento,4.82567784998
block away,4.82275843638
cool,4.77307660933
20,4.66260340214
casa,4.65285811653
war,4.61951422345
sehr,4.57070420119
por,4.51492279151
des,4.49889005296
however,4.48991438724
adorable,4.47345517564
travel,4.4035698798
24,4.37620615008
felt like,4.35926034291
das,4.33325580159
upper manhattan,4.27511847765
todo,4.25327465431
liked,4.19625105842
