name,count
jfk,35.1001216031
sister,20.7177825039
lirr,19.0785697328
queens,17.2069058862
airport,14.6139145179
15,14.1322678525
close jfk,11.5049262411
rooms,11.305814282
jamaica,10.4900934626
mit,9.93179976439
fridge,9.64428175762
another,9.59560191431
het,9.5710444722
fresh,9.54723920578
bedrooms,9.46400019558
park,9.00090557075
flight,8.83543279551
beautifully,8.70093480869
sehr,8.53463753139
guest,8.52279520195
house clean,8.26652722082
20,8.26652722082
book,8.26652722082
house beautiful,7.59507423701
jfk airport,7.32985754156
husband,7.24963344016
je,7.09518093072
hotel,6.95900691329
however,6.88877268401
called,6.80140535958
cab,6.76876551915
decorated,6.69574024364
booking,6.62657459663
later,6.52467009615
crew,6.50048943889
nothing,6.49117981057
floor,6.49117981057
look,6.45792290868
traveling,6.35952053362
house beautifully,6.34362615251
bus stop,6.27329304716
upstairs,6.27329304716
ready,6.19989541561
property,6.14174497368
text,6.14174497368
using,6.137510918
friend,6.137510918
stopover,6.12774071021
drive,6.04569365296
children,5.95566404429
fruits,5.94527005603
