name,count
ferry,193.018683121
staten island,64.4208147112
staten,64.4208147112
island,44.5813314092
staten island ferry,27.7356667575
island ferry,27.0726786775
bus ferry,21.1888826811
rooms,12.7686139812
bus stop,12.6783519041
ferry terminal,12.365335845
cheap,12.1254592498
15,12.0965816664
ferry manhattan,12.0663486201
30,11.0257205725
statue,10.979462585
take ferry,10.8196688644
на,10.7674337805
bus ride,10.6081756337
view,10.3856201688
manhatten,10.0124995525
20,9.82746272848
room clean,9.08000517736
shared,8.82623015506
liberty,8.80971854772
picked us,8.66857805756
picked,8.56457400852
stocked,8.40303398692
taxi,8.24749275289
basic,8.20363946733
commute,8.07412202634
budget,8.0468846325
fine,8.02335899747
30 minutes,8.00245173206
мы,7.98724853212
fridge,7.86197018279
sleep,7.7828615806
terminal,7.68233564659
wife,7.46834859275
sehr,7.37905399586
avec,7.30146628741
travel,7.20680600089
une,7.18727797722
statue liberty,7.12722089577
buses,7.11256399474
walked,7.07561803041
sur,7.04568099884
accommodation,6.93048278892
avons,6.78411447602
der,6.67647010853
take bus,6.5966990052
bed comfortable,6.58492973903
