name,count
union square,46.0019504108
union,45.5890239206
square,31.9641998719
building,16.8253113962
east village,16.4400888456
village,15.6850210272
east,14.2819557854
bars,13.4026798821
flat,11.3011349542
responsive,10.7795228042
apt,10.003493784
studio,9.94992083682
park,9.8341135665
apartment location,9.61265608098
stay apartment,9.53704403253
keys,9.09573621325
floor,8.09613771303
flexible,7.90315602515
loft,7.59183997845
central,7.23128979894
shops,7.17398490165
appartment,7.11926575781
noise,6.94208933615
block,6.89116377846
perfectly,6.78882243586
photos,6.52043740588
apartment perfect,6.51774614437
location perfect,6.43137193799
perfect location,6.40263062587
key,6.32057429434
restaurants bars,6.20894403571
friend,6.09277375888
couldn,5.9365487907
stairs,5.78231277897
recommend apartment,5.68917956585
quickly,5.47348477681
cute,5.45378154504
bars restaurants,5.43160631387
light,5.34202421182
location apartment,5.16774732772
corner,5.09002000695
worked,5.06974334689
sleep,5.05127397104
dans,4.98310616265
ideal,4.93095642306
highly recommended,4.83157380251
location close,4.80702559716
eat,4.7826566011
size,4.77908692091
apartment exactly,4.73602711976
description,4.73438732871
